param,value,mode,E_mix,i_mix,residual,converged,method
T,268.0,MEAN,0.4387378057909104,0.14443142876730317,5.551115123125783e-17,True,closed_form(D5-6/D5-8)
T,272.2857142857143,MEAN,0.43933589787011496,0.12860281164012272,4.440892098500626e-16,True,closed_form(D5-6/D5-8)
T,276.57142857142856,MEAN,0.4399339546657773,0.11490625864930173,-5.551115123125783e-17,True,closed_form(D5-6/D5-8)
T,280.85714285714283,MEAN,0.4405319649777543,0.10300858008307742,-2.636779683484747e-16,True,closed_form(D5-6/D5-8)
T,285.14285714285717,MEAN,0.4411299183783492,0.0926351273388341,-8.187894806610529e-16,True,closed_form(D5-6/D5-8)
T,289.42857142857144,MEAN,0.4417278051571693,0.08355846237567062,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
T,293.7142857142857,MEAN,0.44232561627045924,0.07558940832643714,-4.3021142204224816e-16,True,closed_form(D5-6/D5-8)
T,298.0,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
T,302.2857142857143,MEAN,0.4435209783826901,0.06236753241028175,-4.163336342344337e-17,True,closed_form(D5-6/D5-8)
T,306.57142857142856,MEAN,0.444118514225997,0.05687057620268486,-1.249000902703301e-16,True,closed_form(D5-6/D5-8)
T,310.85714285714283,MEAN,0.4447159440164555,0.05198475238120826,-2.636779683484747e-16,True,closed_form(D5-6/D5-8)
T,315.1428571428571,MEAN,0.4453132614134623,0.047630049221516264,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
T,319.42857142857144,MEAN,0.4459104605126221,0.04373835688930685,-1.734723475976807e-16,True,closed_form(D5-6/D5-8)
T,323.7142857142857,MEAN,0.4465075358169184,0.04025150123305719,-3.122502256758253e-16,True,closed_form(D5-6/D5-8)
T,328.0,MEAN,0.4471044822100191,0.03711963261247689,9.020562075079397e-17,True,closed_form(D5-6/D5-8)
